YearID,GameID,GamePitchSequence,PAofInning,AtBatPitchSequence,Inning,Balls,Strikes,PitcherID,PitcherHand,BatSide,PitchType,Velocity,VerticalBreak,HorizontalBreak,PlateLocHeight,PlateLocSide
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,104,3,2,3,1,0,114013,L,R,FA,91.42346079,16.12977102,-8.830021645,3.612405489,1.158570166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,105,3,3,3,2,0,114013,L,R,FA,91.63576079,15.41617102,-8.031721645,4.740005489,0.178070166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,106,3,4,3,3,0,114013,L,R,FA,91.31356079,12.04487102,-12.18712165,4.221105489,-0.612729834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,109,4,3,3,0,2,114013,L,R,FA,92.48866079,14.61707102,-7.866421645,1.701405489,0.764870166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,110,5,1,3,0,0,114013,L,L,FA,91.86576079,14.35427102,-10.02902165,2.585205489,-0.333129834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,114,6,3,3,0,2,114013,L,R,FA,91.17366079,14.46227102,-11.31402165,4.277305489,-0.765229834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,138,1,1,4,0,0,114013,L,R,SI,86.78176079,8.519471022,-15.82882165,2.921405489,-2.634129834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,148,4,1,4,0,0,114013,L,R,SI,89.03786079,7.897071022,-14.49302165,3.025505489,-1.147929834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,149,4,2,4,1,0,114013,L,R,FA,88.89096079,10.92537102,-13.16582165,3.832105489,-0.973929834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,150,4,3,4,1,1,114013,L,R,FA,90.22026079,15.58147102,-7.282921645,2.438705489,0.280670166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,173,1,1,5,0,0,114013,L,L,FA,88.13066079,14.24947102,-9.316521645,2.606605489,1.537070166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,174,1,2,5,1,0,114013,L,L,FA,88.34746079,13.75887102,-10.26382165,1.816205489,0.362970166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,175,1,3,5,1,1,114013,L,L,FA,89.79876079,16.08347102,-8.281621645,1.680805489,0.865170166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,176,1,4,5,2,1,114013,L,L,FA,88.89826079,14.25637102,-7.808721645,3.187205489,-0.269129834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,178,2,1,5,0,0,114013,L,R,SI,89.87956079,8.838171022,-16.59542165,1.507305489,-0.294829834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,179,2,2,5,0,1,114013,L,R,FA,90.74916079,14.14107102,-9.271321645,2.700505489,0.634870166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,180,2,3,5,0,2,114013,L,R,FA,91.44006079,12.93647102,-8.276221645,4.423505489,-0.259329834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,181,2,4,5,1,2,114013,L,R,FA,91.61306079,10.71847102,-9.376221645,2.839805489,-0.202929834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,182,3,1,5,0,0,114013,L,R,SI,91.17106079,9.339071022,-14.74952165,2.861005489,-1.717829834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,183,3,2,5,1,0,114013,L,R,SI,90.68366079,7.348071022,-14.85852165,1.885905489,-0.905729834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,184,3,3,5,1,1,114013,L,R,FA,91.50456079,12.71407102,-9.605121645,2.863205489,-0.411429834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,186,3,5,5,2,2,114013,L,R,FA,91.40286079,10.29367102,-8.803121645,3.141205489,-0.094529834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,209,1,3,6,1,1,114013,L,L,FA,90.50916079,14.99577102,-8.693821645,3.325205489,-0.123029834
